Date_time,VIX,SP500,US Treasury securities
2021-05-04,16.17,4179.04,0.01
2021-05-05,17.75,4177.06,0.01
2021-05-06,17.49,4169.14,0.01
2021-05-07,16.07,4210.34,0.01
2021-05-10,14.09,4228.29,0.02
2021-05-11,19.68,4150.34,0.01
2021-05-12,22.03,4130.55,0.01
2021-05-13,29.79,4074.99,0.0
2021-05-14,23.17,4129.58,0.01
2021-05-17,20.49,4169.92,0.0
2021-05-18,19.03,4165.94,0.0
2021-05-19,20.92,4098.45,0.0
2021-05-20,19.61,4121.97,0.01
2021-05-21,18.53,4168.61,0.0
2021-05-24,17.5,4170.16,0.01
2021-05-25,14.86,4205.94,0.01
2021-05-26,15.8,4191.59,0.0
2021-05-27,13.76,4201.94,0.0
2021-05-28,13.08,4210.77,0.01
2021-06-01,14.55,4216.52,0.01
2021-06-02,14.89,4206.82,0.01
2021-06-03,13.69,4191.43,0.0
2021-06-04,14.05,4206.05,0.01
2021-06-07,14.84,4229.34,0.01
2021-06-08,14.21,4233.81,0.01
2021-06-09,15.27,4232.99,0.01
2021-06-10,15.25,4228.56,0.01
2021-06-11,13.53,4242.9,0.01
2021-06-14,14.5,4248.31,0.01
2021-06-15,15.36,4255.28,0.02
